subject_name,input_type,input_recipient,count,age
C120,Music,Baby,2,18
C122,Music,Baby,2,18
C124,Music,Baby,4,18
C125,Music,Baby,2,18
C126,Music,Baby,1,18
C127,Music,Baby,6,18
C128,Music,Baby,2,18
C129,Music,Baby,1,18
C130,Music,Baby,1,18
C131,Music,Baby,1,18
C102,Music,Other,4,18
C104,Music,Other,9,18
C106,Music,Other,4,18
C107,Music,Other,11,18
C108,Music,Other,14,18
C111,Music,Other,4,18
C112,Music,Other,7,18
C113,Music,Other,8,18
C114,Music,Other,1,18
C115,Music,Other,6,18
C116,Music,Other,4,18
C117,Music,Other,4,18
C118,Music,Other,12,18
C119,Music,Other,7,18
C120,Music,Other,2,18
C122,Music,Other,8,18
C124,Music,Other,7,18
C125,Music,Other,5,18
C126,Music,Other,1,18
C127,Music,Other,15,18
C128,Music,Other,15,18
C129,Music,Other,9,18
C130,Music,Other,1,18
C131,Music,Other,0,18
C102,Speech,Baby,37,24
C104,Speech,Baby,32,24
C106,Speech,Baby,28,24
C107,Speech,Baby,40,24
C108,Speech,Baby,29,24
C111,Speech,Baby,23,24
C112,Speech,Baby,24,24
C113,Speech,Baby,37,24
C114,Speech,Baby,35,24
C115,Speech,Baby,29,24
C116,Speech,Baby,43,24
C117,Speech,Baby,47,24
C118,Speech,Baby,22,24
C119,Speech,Baby,38,24
C120,Speech,Baby,55,24
C122,Speech,Baby,36,24
C124,Speech,Baby,33,24
C125,Speech,Baby,37,24
C126,Speech,Baby,13,24
C127,Speech,Baby,25,24
C128,Speech,Baby,46,24
C129,Speech,Baby,27,24
C130,Speech,Baby,26,24
C131,Speech,Baby,19,24
C102,Speech,Other,7,24
C104,Speech,Other,14,24
C106,Speech,Other,22,24
C107,Speech,Other,28,24
C108,Speech,Other,30,24
C111,Speech,Other,10,24
C112,Speech,Other,25,24
C113,Speech,Other,26,24
C114,Speech,Other,25,24
C115,Speech,Other,24,24
C116,Speech,Other,26,24
C117,Speech,Other,10,24
C118,Speech,Other,42,24
C119,Speech,Other,21,24
C120,Speech,Other,16,24
C122,Speech,Other,33,24
C124,Speech,Other,28,24
C125,Speech,Other,14,24
C126,Speech,Other,27,24
C127,Speech,Other,26,24
C128,Speech,Other,27,24
C129,Speech,Other,33,24
C130,Speech,Other,15,24
C131,Speech,Other,35,24
C102,Music,Baby,0,24
C104,Music,Baby,4,24
C106,Music,Baby,0,24
C107,Music,Baby,3,24
C108,Music,Baby,1,24
C111,Music,Baby,6,24
C112,Music,Baby,5,24
C113,Music,Baby,8,24
C114,Music,Baby,3,24
C115,Music,Baby,3,24
C116,Music,Baby,2,24
C117,Music,Baby,3,24
C118,Music,Baby,5,24
C119,Music,Baby,1,24
C120,Music,Baby,6,24
C122,Music,Baby,4,24
C124,Music,Baby,2,24
C125,Music,Baby,1,24
C126,Music,Baby,5,24
C127,Music,Baby,3,24
C128,Music,Baby,3,24
C129,Music,Baby,1,24
C130,Music,Baby,3,24
C131,Music,Baby,0,24
C102,Music,Other,4,24
C104,Music,Other,5,24
C106,Music,Other,3,24
C107,Music,Other,10,24
