music_baby,music_other,speech_baby,speech_other
13.45833333,6.166666667,26.125,20.08333333
10.58333333,7.041666667,23.125,31.33333333
8.916666667,5.666666667,23.58333333,21.5
9.291666667,4.208333333,24.45833333,20.91666667
6.666666667,6.125,25.91666667,25.25
10.83333333,5.166666667,25.95833333,27.875
7.291666667,5.583333333,27.125,24.125
7.541666667,7,28.16666667,25.58333333
10.625,5.375,25.375,21.20833333
7.625,7.125,22.83333333,22.91666667
8.666666667,5.916666667,24.45833333,27.29166667
7,6.333333333,28.20833333,24.75
7.333333333,7.666666667,27.58333333,25.29166667
7.416666667,6.125,23.04166667,24.25
7.041666667,7.75,25.58333333,28.5
7.458333333,5.625,26.04166667,23.375
9.458333333,6.583333333,22.54166667,24.70833333
8.375,5.333333333,25.66666667,26.70833333
7.833333333,5.958333333,25.79166667,26.125
7.625,6.916666667,22.58333333,29.16666667
13.125,5.916666667,25,27.5
7.083333333,7.416666667,25.5,23.25
8.416666667,5.125,28.20833333,25.875
9.916666667,5.708333333,25.375,25.25
9.875,6.541666667,24.70833333,24.625
10,6.791666667,24.54166667,25.54166667
7.541666667,6.75,24.875,24.5
7.583333333,6.416666667,25.29166667,25.33333333
8.125,9.583333333,22.625,28.5
9.708333333,6.208333333,27.29166667,22.25
9.708333333,3.875,27.70833333,22.95833333
4.958333333,5.666666667,26.29166667,25.625
10.75,7,22.29166667,29
12.16666667,6.541666667,23.375,28.83333333
12.91666667,6.791666667,26.04166667,26.83333333
10.45833333,5.583333333,23.29166667,23.875
6.291666667,4.833333333,27.625,22.875
6.666666667,4.666666667,23.54166667,31
10.875,6.333333333,24.875,24.95833333
8.041666667,5,24.16666667,23.20833333
9,6.958333333,25.54166667,22.125
7.541666667,7.25,22.66666667,24.29166667
7.5,7.041666667,22,25.08333333
8.208333333,6,23.625,25.91666667
9.166666667,4.583333333,23.45833333,22.33333333
6.958333333,5.75,22.04166667,28.375
8.541666667,8.666666667,23.66666667,28.41666667
8.083333333,7.333333333,23.70833333,29.16666667
12.875,7.666666667,23.91666667,22.79166667
9,8.291666667,23.54166667,24.08333333
7.333333333,5.291666667,24,25.25
6.291666667,4.791666667,31.125,26.41666667
8.583333333,5.291666667,25.58333333,23.41666667
9.541666667,5.791666667,27.54166667,26.70833333
8.583333333,9.75,27,27
9.583333333,7.833333333,22.04166667,23.29166667
9.083333333,5.958333333,25.95833333,25.125
6.416666667,8.625,22.04166667,27.66666667
8.75,5,22.625,22.95833333
10.25,7.666666667,21.45833333,25.625
9.375,7.833333333,24.16666667,29.41666667
8.916666667,7.875,20.54166667,25.29166667
7.458333333,7.208333333,24.83333333,25.66666667
6.791666667,6.916666667,24,22.125
7.958333333,5.291666667,27.5,28
7.791666667,4.833333333,27.04166667,24.91666667
10.54166667,4.583333333,23.5,23
6.666666667,4.541666667,27.5,21.54166667
5.708333333,5.666666667,24.375,23.625
6.666666667,6.208333333,27.58333333,22.95833333
7.583333333,7.208333333,22.66666667,28
