music,speech
16.58333333,51.29166667
17.625,52.5
19.33333333,47.58333333
15.41666667,48.16666667
15.33333333,51.79166667
16.25,51.54166667
15.20833333,53.29166667
15.20833333,49.95833333
16.45833333,53.91666667
15.16666667,50.29166667
17.16666667,54.375
20.58333333,54.75
13.5,50.375
16.45833333,47.5
14.33333333,51
14.125,53
14.45833333,52.25
18.625,50.79166667
14.20833333,49.29166667
14.79166667,49.95833333
17.375,55.625
16.91666667,55.25
14.70833333,56.79166667
21.33333333,47.29166667
13.83333333,50.29166667
17.875,54.83333333
13.125,48.54166667
13.875,53.375
15.83333333,52.29166667
21.45833333,53.75
10.54166667,47.79166667
17.41666667,57.33333333
17.875,56.29166667
12.95833333,54.54166667
22.45833333,50.70833333
15.625,56.33333333
15.83333333,51.54166667
16.04166667,52.95833333
15.875,55.08333333
15.45833333,55.45833333
14.41666667,56.16666667
17.25,55.375
14.83333333,56.58333333
17.25,53
19.45833333,50.875
15,58
13.54166667,52.375
17.83333333,49.95833333
14.04166667,54.54166667
12.625,56.79166667
15.70833333,48.875
15.625,54.45833333
15.29166667,52.70833333
12.20833333,52.20833333
17.875,49.29166667
17.375,53.79166667
16.08333333,54.75
13.04166667,50.83333333
16.625,56.375
12.58333333,56.29166667
13.79166667,53.375
14.58333333,48.79166667
11.5,50.16666667
13.125,55
16.33333333,54.95833333
16.54166667,53.91666667
19.08333333,55.5
16.16666667,52.33333333
17.125,49.45833333
16.41666667,52.79166667
19.70833333,50.5
15.66666667,53
16.66666667,53.5
16.58333333,56
11.83333333,49.125
14.45833333,51.41666667
20.125,54
12.66666667,48.5
14.875,54.29166667
18.29166667,51.79166667
15.70833333,49.95833333
13.91666667,50.75
18.125,53
17.58333333,54.25
14.79166667,55.58333333
14.45833333,53.83333333
21.83333333,50.75
13.95833333,50.16666667
15.29166667,54.41666667
14.20833333,48.25
11.125,51.16666667
17.625,53.33333333
18.625,52.54166667
16.5,55.79166667
24.08333333,50.875
18.58333333,46.25
16.79166667,51.45833333
16.45833333,56.25
17.41666667,53.29166667
19.875,47.70833333
14.125,50.41666667
13.75,50.625
14.41666667,52
18.70833333,52.66666667
18.29166667,53.625
19.25,53.125
17.25,53.5
16.20833333,50.5
