music_device,music_person,speech_device,speech_person,,mean,std
11.625,2.083333333,5.791666667,48.125,,,
14.54166667,2.375,4.833333333,49.875,,,
18.75,2.208333333,6.375,48.625,,,
11.375,2.041666667,5.416666667,50.375,,,
14.33333333,2.166666667,5.166666667,44.875,,,
18.08333333,2.333333333,5.583333333,45.79166667,,,
11.875,2,3.041666667,48.54166667,,,
13.79166667,1.958333333,4.958333333,50.70833333,,,
11.33333333,2.041666667,5.208333333,44.875,,,
14.25,2.5,5.541666667,49.83333333,,,
14.25,2.333333333,5.333333333,47.58333333,,,
12.375,1.916666667,5.666666667,45.79166667,,,
12.375,2.666666667,4.541666667,51.16666667,,,
12.41666667,2.25,5.833333333,49.33333333,,,
12.375,2.666666667,5.583333333,50.16666667,,,
14.08333333,1.791666667,6.166666667,49.41666667,,,
14.70833333,2.25,6.375,46.70833333,,,
16.5,1.875,7.458333333,50.08333333,,,
13.58333333,2.208333333,6,47.375,,,
16.625,2.25,5.833333333,50.75,,,
14.5,1.541666667,6.5,43.33333333,,,
10.75,2.541666667,5.25,48.375,,,
16.375,2.375,6.75,45.08333333,,,
10.08333333,3.291666667,4.791666667,53.91666667,,,
12.16666667,2.25,5.916666667,45.66666667,,,
14.29166667,2.208333333,5.833333333,46.29166667,,,
11.95833333,1.791666667,5.291666667,50,,,
14.79166667,1.75,6.833333333,45.5,,,
12.91666667,2.333333333,6.125,48.375,,,
17.5,2.041666667,5.75,43.91666667,,,
11.375,1.958333333,5.875,47.08333333,,,
12.875,2.541666667,6.958333333,48.95833333,,,
10.58333333,3.291666667,3.958333333,52.08333333,,,
14.83333333,3.083333333,4.791666667,49.41666667,,,
16.83333333,2.041666667,8.291666667,47.29166667,,,
14.16666667,2.916666667,6.958333333,45.58333333,,,
15.875,2.166666667,5,52.45833333,,,
13.375,2.458333333,4.541666667,46.625,,,
14.41666667,2.541666667,7.25,50.41666667,,,
16,2.666666667,5.708333333,47.33333333,,,
18.75,2.5,6.583333333,50.33333333,,,
12.41666667,2.666666667,6.208333333,49.04166667,,,
14.95833333,2.125,5.916666667,48.375,,,
13.16666667,1.958333333,7.208333333,48.04166667,,,
12.70833333,1.916666667,7.375,45.16666667,,,
14.83333333,2.041666667,7.5,48.375,,,
12.375,1.916666667,5.583333333,44.16666667,,,
11.04166667,2.583333333,5.041666667,48.33333333,,,
13.16666667,2.166666667,5.541666667,48.70833333,,,
13.375,1.875,5.625,49.33333333,,,
13.04166667,3.041666667,5.708333333,47.79166667,,,
11.41666667,1.875,4.375,48.91666667,,,
14.29166667,1.916666667,6.625,43.75,,,
13.41666667,1.75,5.791666667,41.45833333,,,
16.875,1.583333333,4.25,49.16666667,,,
14.08333333,2.208333333,7.791666667,45.79166667,,,
11.08333333,1.125,3.458333333,44.41666667,,,
12.45833333,1.916666667,8.083333333,44.66666667,,,
16.625,2.166666667,7.416666667,47.41666667,,,
14.45833333,2.458333333,4.916666667,47.58333333,,,
9.083333333,1.875,4.833333333,47.95833333,,,
12.20833333,2.375,5.708333333,50.625,,,
16.16666667,1.583333333,6.916666667,47.79166667,,,
14.95833333,2.5,6.291666667,51.125,,,
11.41666667,2.541666667,7.125,44.54166667,,,
11.04166667,2.416666667,5.916666667,47.70833333,,,
14.45833333,2.25,6.041666667,50.875,,,
15.04166667,1.875,6.541666667,44.125,,,
11.70833333,1.916666667,4.916666667,46.16666667,,,
