music_baby,music_other,speech_baby,speech_other,,mean,std
3.791666667,7.083333333,22.875,27.08333333,,,
3.875,7.833333333,19.54166667,26.25,,,
3.291666667,7.5,21.08333333,28,,,
2.791666667,7.5,23.20833333,26.625,,,
2.416666667,6.125,23.04166667,27.45833333,,,
2.458333333,6,20.33333333,27.66666667,,,
2.583333333,6.833333333,23.54166667,28.625,,,
3.458333333,7.083333333,20.58333333,27.20833333,,,
3.291666667,6.625,23.04166667,28.625,,,
2.5,7.125,22.70833333,28,,,
2.5,7.208333333,24.54166667,27.375,,,
2.375,6.541666667,25.875,25.75,,,
3.291666667,6.375,22.91666667,25.79166667,,,
2.875,6.625,23.375,25.79166667,,,
2.166666667,6.333333333,23.95833333,26.16666667,,,
3.458333333,7.125,26.41666667,27.04166667,,,
3.625,7.666666667,22.25,29,,,
3.125,7.208333333,25.625,25.66666667,,,
2.875,7.166666667,24.5,26.08333333,,,
2.25,7.333333333,23.66666667,26.41666667,,,
3.791666667,7.458333333,20.45833333,25.58333333,,,
2.833333333,5.75,21.375,26.29166667,,,
2.875,7.291666667,24.29166667,26.70833333,,,
3.041666667,7.291666667,20,28.04166667,,,
3.25,6.791666667,22.125,25.66666667,,,
2.916666667,6.916666667,23.33333333,25.5,,,
2.791666667,6.916666667,21.45833333,27.125,,,
2.708333333,7.083333333,23.375,24.70833333,,,
3.541666667,6.833333333,21.33333333,27.125,,,
3.541666667,7.375,20.58333333,27.04166667,,,
3.625,6.083333333,20.04166667,27.91666667,,,
2.875,6.75,21.625,25.58333333,,,
3.333333333,6.75,23.25,27.5,,,
3.375,8.166666667,21.25,26.625,,,
4.083333333,7.083333333,18.79166667,26.08333333,,,
3.208333333,7.916666667,21.08333333,29.33333333,,,
2.833333333,6.583333333,23.33333333,25.20833333,,,
3.25,6.791666667,22.91666667,25.45833333,,,
3,6.458333333,22.45833333,27.25,,,
3.166666667,7.541666667,22.29166667,26.83333333,,,
3.125,6.5,22.91666667,26.66666667,,,
2.833333333,6.958333333,22.5,26.58333333,,,
3.458333333,8.041666667,21.875,25.95833333,,,
4,6.833333333,23.58333333,27.625,,,
2.875,6.25,25.75,27.375,,,
2.833333333,6,24.25,25.16666667,,,
2.791666667,6.75,23,26.54166667,,,
2.583333333,7.25,25.16666667,26.25,,,
2.708333333,6.166666667,21.25,28.33333333,,,
3.125,6.583333333,21.54166667,28.79166667,,,
3.541666667,8.416666667,22.33333333,27.375,,,
2.833333333,6.208333333,24.625,25.04166667,,,
3.083333333,7.458333333,21.20833333,26.75,,,
3,6.833333333,23.33333333,26.91666667,,,
2.458333333,6.583333333,21.125,28.04166667,,,
3.416666667,6.5,22.25,25.625,,,
2.416666667,6.75,21.04166667,27.20833333,,,
3,6.416666667,21.875,25.70833333,,,
2.625,6.958333333,20.5,27.75,,,
